stratum_label	dimension	n_cohorts	cohorts_included	cohorts_excluded	config_file	output_dir
pooled_15cohorts	all	15	ROSMAP;ROSMAP_array;Mayo;MSBB;CMC_MSSM;CMC_PENN;CMC_PITT;GTEx_v10;NABEC;NIMH_HBCC_1M;NIMH_HBCC_h650;NIMH_HBCC_Omni5M;GVEX;AMP_AD_Rush;AMP_AD_Mayo		nextflow.config.standalone_meta_15cohorts	results/meta_analysis_15cohorts
AD_neurological	diagnosis_group	6	ROSMAP;ROSMAP_array;Mayo;MSBB;AMP_AD_Rush;AMP_AD_Mayo	CMC_MSSM;CMC_PENN;CMC_PITT;GTEx_v10;NABEC;NIMH_HBCC_1M;NIMH_HBCC_h650;NIMH_HBCC_Omni5M;GVEX	sensitivity_configs/nextflow.config.sensitivity.stratified_ad_neurological_15cohorts	results/meta_sensitivity/stratified_ad_neurological_15cohorts
neurologically_normal	diagnosis_group	2	GTEx_v10;NABEC	all others	sensitivity_configs/nextflow.config.sensitivity.stratified_neurologically_normal_15cohorts	results/meta_sensitivity/stratified_neurologically_normal_15cohorts
psychiatric_mixed	diagnosis_group	7	CMC_MSSM;CMC_PENN;CMC_PITT;NIMH_HBCC_1M;NIMH_HBCC_h650;NIMH_HBCC_Omni5M;GVEX	all others	sensitivity_configs/nextflow.config.sensitivity.stratified_psychiatric_mixed_15cohorts	results/meta_sensitivity/stratified_psychiatric_mixed_15cohorts
EUR_homogeneous	ancestry_class	9	ROSMAP;ROSMAP_array;Mayo;MSBB;CMC_MSSM;CMC_PENN;CMC_PITT;GTEx_v10;NABEC	GVEX;AMP_AD_Rush;AMP_AD_Mayo;NIMH_HBCC_1M;NIMH_HBCC_h650;NIMH_HBCC_Omni5M	sensitivity_configs/nextflow.config.sensitivity.stratified_eur_homogeneous_15cohorts	results/meta_sensitivity/stratified_eur_homogeneous_15cohorts
DLPFC_only	analysis_type	13	all 15-cohort except Mayo;MSBB	Mayo;MSBB	sensitivity_configs/nextflow.config.sensitivity.stratified_dlpfc_only_15cohorts	results/meta_sensitivity/stratified_dlpfc_only_15cohorts
AD_EUR	diagnosis_group_ancestry_matched	4	ROSMAP;ROSMAP_array;Mayo;MSBB	CMC;HBCC;GVEX;AMP-AD;GTEx;NABEC	sensitivity_configs/nextflow.config.sensitivity.stratified_ad_eur_15cohorts	results/meta_sensitivity/stratified_ad_eur_15cohorts
psychiatric_EUR	diagnosis_group_ancestry_matched	3	CMC_MSSM;CMC_PENN;CMC_PITT	HBCC;GVEX;AD cohorts;controls	sensitivity_configs/nextflow.config.sensitivity.stratified_psychiatric_eur_15cohorts	results/meta_sensitivity/stratified_psychiatric_eur_15cohorts
